id_transaccion,fecha,mes,id_cliente,segmento_cliente,producto,categoria,precio_unitario,cantidad,metodo_pago,tienda,total_ticket
36,2026-10-02,10,1484,Individual,USB,Computo,1607.86,1,Tarjeta,CDMX,1607.86
37,2026-04-26,4,1488,PyME,Laptop,Computo,355.34,2,Efectivo,Monterrey,710.68
38,2026-02-27,2,3261,PyME,Smartwatch,Computo,1772.54,3,Tarjeta,Guadalajara,5317.62
39,2026-09-22,9,1422,Individual,Tablet,Accesorios,1473.28,2,Tarjeta,Guadalajara,2946.56
40,2026-06-12,6,3407,Empresa,Mouse,Accesorios,459.82,3,Efectivo,Monterrey,1379.46
41,2026-02-06,2,3427,Individual,Monitor,Computo,48.23,4,Efectivo,Guadalajara,192.92
42,2026-06-22,6,3359,Individual,Monitor,Computo,1452.24,1,Efectivo,Monterrey,1452.24
43,2026-01-04,1,3382,Empresa,USB,Computo,161.38,2,Efectivo,CDMX,322.76
44,2026-11-24,11,1380,PyME,Teclado,Computo,1820.23,1,Efectivo,Guadalajara,1820.23
45,2026-04-01,4,4106,Individual,Mouse,Accesorios,231.44,4,Tarjeta,Guadalajara,925.76
46,2026-08-26,8,2524,PyME,Tablet,Computo,1752.21,1,Tarjeta,Monterrey,1752.21
47,2026-04-08,4,1986,Individual,Laptop,Accesorios,1086.09,1,Efectivo,Monterrey,1086.09
48,2026-06-08,6,4088,Empresa,Laptop,Accesorios,946.08,4,Efectivo,CDMX,3784.32
49,2026-07-21,7,1146,Individual,USB,Accesorios,1485.78,2,Tarjeta,Guadalajara,2971.56
50,2026-03-25,3,3321,Empresa,Smartwatch,Accesorios,1200.98,1,Efectivo,Guadalajara,1200.98
51,2026-12-12,12,1841,Empresa,Audífonos,Accesorios,1153.26,1,Tarjeta,CDMX,1153.26
52,2026-09-25,9,1385,Empresa,Monitor,Accesorios,1509.43,3,Tarjeta,Monterrey,4528.29
53,2026-12-26,12,1065,PyME,Mouse,Computo,1650.34,3,Efectivo,Monterrey,4951.02
54,2026-11-04,11,2712,Individual,Audífonos,Accesorios,96.22,1,Efectivo,CDMX,96.22
55,2026-07-16,7,3542,Individual,Smartwatch,Computo,1009.26,4,Efectivo,Guadalajara,4037.04
56,2026-11-14,11,3266,Empresa,Laptop,Accesorios,1636.24,3,Tarjeta,CDMX,4908.72
57,2026-02-14,2,3127,Empresa,Laptop,Accesorios,1524.75,2,Efectivo,Guadalajara,3049.5
58,2026-03-02,3,3335,Empresa,Mouse,Accesorios,111.42,3,Tarjeta,CDMX,334.26
59,2026-01-17,1,1421,PyME,Laptop,Accesorios,972.67,1,Efectivo,Guadalajara,972.67
60,2026-05-24,5,1499,Individual,Mouse,Computo,1382.3,4,Efectivo,Guadalajara,5529.2
61,2026-05-08,5,1281,Individual,Smartwatch,Computo,1465.65,2,Efectivo,Monterrey,2931.3
62,2026-04-27,4,4167,Individual,Teclado,Computo,147.96,4,Tarjeta,Monterrey,591.84
63,2026-10-07,10,2889,Individual,Smartwatch,Computo,1739.82,2,Tarjeta,Monterrey,3479.64
64,2026-05-13,5,2262,Empresa,Smartwatch,Computo,474.64,1,Tarjeta,Guadalajara,474.64
65,2026-04-11,4,4124,Empresa,Audífonos,Accesorios,381.81,1,Tarjeta,CDMX,381.81
66,2026-07-19,7,4505,PyME,Mouse,Computo,138.56,2,Tarjeta,Monterrey,277.12
67,2026-03-19,3,2735,Empresa,Audífonos,Computo,1103.92,2,Tarjeta,Monterrey,2207.84
68,2026-10-10,10,3531,Individual,Monitor,Computo,707.31,4,Efectivo,Guadalajara,2829.24
69,2026-02-24,2,4067,Empresa,Monitor,Computo,1851.0,4,Tarjeta,Guadalajara,7404.0
70,2026-12-11,12,3781,Empresa,Smartwatch,Accesorios,195.02,3,Efectivo,CDMX,585.06
71,2026-09-16,9,3942,PyME,USB,Accesorios,1792.7,4,Efectivo,CDMX,7170.8
72,2026-03-08,3,4140,Individual,Laptop,Accesorios,1052.51,2,Efectivo,Guadalajara,2105.02
73,2026-01-02,1,4743,PyME,Smartwatch,Computo,1018.75,4,Tarjeta,CDMX,4075.0
74,2026-10-14,10,1071,PyME,USB,Accesorios,876.7,4,Tarjeta,CDMX,3506.8
75,2026-09-17,9,1661,PyME,Smartwatch,Computo,1926.96,2,Efectivo,Guadalajara,3853.92
76,2026-09-17,9,4952,PyME,Tablet,Accesorios,1795.46,4,Tarjeta,Monterrey,7181.84
77,2026-09-11,9,3917,Empresa,Mouse,Computo,1943.68,3,Efectivo,Guadalajara,5831.04
78,2026-02-01,2,3606,Individual,Smartwatch,Accesorios,1666.04,2,Efectivo,Monterrey,3332.08
79,2026-05-19,5,1256,Empresa,Smartwatch,Computo,636.79,1,Tarjeta,Monterrey,636.79
80,2026-02-01,2,2610,Individual,Teclado,Accesorios,1224.26,4,Tarjeta,Guadalajara,4897.04
81,2026-10-24,10,2317,Individual,Tablet,Accesorios,836.34,3,Tarjeta,Monterrey,2509.02
82,2026-08-24,8,2718,Empresa,Laptop,Accesorios,915.66,2,Efectivo,Guadalajara,1831.32
83,2026-05-25,5,3693,Individual,Mouse,Accesorios,1068.93,2,Tarjeta,Guadalajara,2137.86
84,2026-02-04,2,3643,Individual,Monitor,Computo,983.3,2,Tarjeta,CDMX,1966.6
85,2026-04-24,4,2279,Empresa,Laptop,Computo,1174.65,4,Tarjeta,Monterrey,4698.6
86,2026-05-07,5,4987,PyME,Audífonos,Computo,233.31,1,Efectivo,CDMX,233.31
87,2026-09-20,9,2853,Individual,Audífonos,Computo,1968.82,2,Efectivo,Guadalajara,3937.64
88,2026-08-01,8,2297,Individual,Tablet,Computo,1761.49,3,Efectivo,CDMX,5284.47
89,2026-11-11,11,1849,Individual,Monitor,Computo,1300.9,4,Tarjeta,Guadalajara,5203.6
90,2026-06-13,6,4142,,Laptop,Accesorios,314.75,3,Efectivo,CDMX,944.25
91,2026-02-03,2,4999,Empresa,Smartwatch,Computo,693.92,4,Tarjeta,Guadalajara,2775.68
92,2026-09-24,9,4289,PyME,Laptop,Accesorios,1220.61,4,Tarjeta,Guadalajara,4882.44
93,2026-09-08,9,1023,Individual,Monitor,Computo,550.67,2,Tarjeta,Monterrey,1101.34
94,2026-07-12,7,1495,PyME,Monitor,Computo,1277.05,2,Tarjeta,CDMX,2554.1
95,2026-09-02,9,1885,Empresa,Smartwatch,Computo,1634.28,3,Efectivo,Guadalajara,4902.84
96,2026-06-23,6,4765,PyME,Audífonos,Accesorios,896.93,4,Efectivo,Guadalajara,3587.72
97,2026-06-01,6,2270,Individual,Audífonos,Accesorios,595.01,3,Tarjeta,Guadalajara,1785.03
98,2026-06-20,6,1946,PyME,Mouse,Computo,1152.6,1,Tarjeta,CDMX,1152.6
99,2026-01-14,1,1395,Empresa,Smartwatch,Computo,1404.49,4,Tarjeta,Guadalajara,5617.96
100,2026-02-15,2,1857,Individual,Laptop,Accesorios,441.32,1,Efectivo,CDMX,441.32
101,2026-01-23,1,4933,Empresa,Tablet,Accesorios,559.47,1,Tarjeta,Monterrey,559.47
102,2026-08-04,8,1465,PyME,Mouse,Computo,1251.38,4,Efectivo,CDMX,5005.52
103,2026-04-20,4,4907,,Teclado,Accesorios,125.4,1,Efectivo,Monterrey,125.4
104,2026-06-27,6,2569,Empresa,Audífonos,Accesorios,251.72,4,Efectivo,Guadalajara,1006.88
105,2026-11-07,11,1214,PyME,Audífonos,Computo,1820.44,4,Efectivo,CDMX,7281.76
106,2026-04-01,4,4804,Empresa,Tablet,Computo,1719.15,2,Efectivo,Guadalajara,3438.3
107,2026-06-05,6,2980,PyME,Teclado,Computo,192.94,3,Tarjeta,Monterrey,578.82
108,2026-09-14,9,1830,Empresa,Tablet,Accesorios,1794.54,4,Tarjeta,Guadalajara,7178.16
109,2026-03-06,3,2864,Empresa,USB,Accesorios,1350.42,1,Tarjeta,CDMX,1350.42
110,2026-02-23,2,3854,PyME,Audífonos,Computo,1757.54,1,Tarjeta,Guadalajara,1757.54
111,2026-04-07,4,4019,,Tablet,Computo,1579.57,3,Tarjeta,Guadalajara,4738.71
112,2026-03-12,3,4876,Empresa,Monitor,Accesorios,307.18,3,Tarjeta,CDMX,921.54
113,2026-11-07,11,1395,,Tablet,Accesorios,1728.8,2,Tarjeta,CDMX,3457.6
114,2026-10-18,10,3319,Empresa,USB,Accesorios,1955.49,4,Efectivo,Monterrey,7821.96
115,2026-08-22,8,2938,Individual,Monitor,Computo,1759.47,4,Efectivo,Guadalajara,7037.88
116,2026-11-16,11,1843,PyME,Smartwatch,Computo,393.49,4,Efectivo,Guadalajara,1573.96
117,2026-10-09,10,2664,PyME,Mouse,Accesorios,94.57,3,Efectivo,Guadalajara,283.71
118,2026-03-07,3,4776,Empresa,Laptop,Computo,1637.72,3,Tarjeta,Monterrey,4913.16
119,2026-11-23,11,3066,Empresa,Monitor,Computo,1528.33,3,Tarjeta,Monterrey,4584.99
120,2026-07-14,7,2843,PyME,Monitor,Computo,1994.13,2,Tarjeta,CDMX,3988.26
121,2026-10-02,10,2661,Empresa,Smartwatch,Computo,1851.67,3,Efectivo,Monterrey,5555.01
122,2026-11-13,11,2252,Empresa,Mouse,Accesorios,390.74,4,Tarjeta,Monterrey,1562.96
123,2026-04-07,4,2148,Individual,Teclado,Computo,322.3,2,Tarjeta,Guadalajara,644.6
124,2026-02-25,2,3280,PyME,USB,Accesorios,881.6,3,Tarjeta,CDMX,2644.8
125,2026-03-19,3,4883,Individual,Teclado,Computo,1304.97,3,Tarjeta,Guadalajara,3914.91
126,2026-06-02,6,2921,Individual,Monitor,Computo,706.81,3,Efectivo,CDMX,2120.43
127,2026-10-06,10,1204,Empresa,Monitor,Computo,879.45,1,Efectivo,Guadalajara,879.45
128,2026-10-12,10,1259,,Laptop,Accesorios,982.23,4,Tarjeta,Monterrey,3928.92
129,2026-01-02,1,4474,Individual,Monitor,Accesorios,779.98,4,Tarjeta,Guadalajara,3119.92
130,2026-06-17,6,3535,Empresa,Tablet,Accesorios,70.6,1,Tarjeta,CDMX,70.6
131,2026-06-26,6,2196,Individual,Smartwatch,Accesorios,729.3,3,Tarjeta,Guadalajara,2187.9
132,2026-03-12,3,2184,Individual,Audífonos,Computo,404.72,1,Tarjeta,Monterrey,404.72
133,2026-02-20,2,2296,Individual,Teclado,Computo,202.7,1,Efectivo,Monterrey,202.7
134,2026-05-09,5,2720,Individual,Laptop,Accesorios,559.37,1,Efectivo,CDMX,559.37
135,2026-12-26,12,4984,PyME,Smartwatch,Accesorios,771.38,1,Tarjeta,Guadalajara,771.38
136,2026-05-14,5,3307,PyME,USB,Computo,50.34,2,Efectivo,Guadalajara,100.68
137,2026-06-03,6,1775,PyME,USB,Accesorios,1867.9,4,Efectivo,CDMX,7471.6
138,2026-09-03,9,4293,Individual,Tablet,Accesorios,149.02,1,Efectivo,Guadalajara,149.02
139,2026-05-22,5,2139,Individual,Teclado,Accesorios,489.81,3,Efectivo,CDMX,1469.43
140,2026-12-16,12,2188,Empresa,Laptop,Accesorios,1390.82,1,Tarjeta,Monterrey,1390.82
141,2026-12-06,12,2647,,Monitor,Computo,1964.56,4,Efectivo,CDMX,7858.24
142,2026-04-08,4,2887,,Monitor,Computo,1760.33,3,Tarjeta,CDMX,5280.99
143,2026-06-13,6,2409,PyME,USB,Computo,222.55,2,Tarjeta,Guadalajara,445.1
144,2026-04-26,4,4416,Empresa,Teclado,Accesorios,573.88,4,Tarjeta,CDMX,2295.52
145,2026-04-22,4,2945,Empresa,Smartwatch,Accesorios,135.51,1,Tarjeta,Guadalajara,135.51
146,2026-01-08,1,1296,PyME,Mouse,Accesorios,1246.08,4,Tarjeta,Monterrey,4984.32
147,2026-08-08,8,3444,PyME,Teclado,Accesorios,1619.98,1,Efectivo,Monterrey,1619.98
148,2026-06-07,6,4794,Empresa,Laptop,Computo,495.21,3,Efectivo,Guadalajara,1485.63
149,2026-01-05,1,1151,Empresa,Mouse,Computo,654.54,3,Efectivo,CDMX,1963.62
150,2026-04-20,4,2736,Empresa,USB,Accesorios,1472.16,3,Tarjeta,CDMX,4416.48
151,2026-11-01,11,3146,PyME,Teclado,Accesorios,649.66,1,Efectivo,CDMX,649.66
152,2026-03-13,3,3493,Individual,Mouse,Computo,625.84,3,Tarjeta,Guadalajara,1877.52
153,2026-03-22,3,1607,,Mouse,Accesorios,1302.68,1,Tarjeta,Monterrey,1302.68
154,2026-06-08,6,2088,Individual,Smartwatch,Computo,123.84,2,Tarjeta,Monterrey,247.68
155,2026-12-11,12,2438,PyME,Smartwatch,Computo,1574.62,1,Efectivo,CDMX,1574.62
156,2026-03-20,3,3193,Empresa,Monitor,Accesorios,224.96,1,Tarjeta,Monterrey,224.96
157,2026-09-07,9,4581,PyME,Monitor,Accesorios,168.81,3,Efectivo,Monterrey,506.43
158,2026-09-19,9,4982,Individual,Smartwatch,Accesorios,1080.82,3,Tarjeta,Guadalajara,3242.46
159,2026-03-21,3,4095,,Audífonos,Accesorios,1558.67,2,Efectivo,Monterrey,3117.34
160,2026-09-07,9,1576,Empresa,Smartwatch,Computo,914.52,1,Tarjeta,Guadalajara,914.52
161,2026-05-16,5,3702,Empresa,Mouse,Computo,220.28,2,Efectivo,Monterrey,440.56
162,2026-08-12,8,4286,PyME,Audífonos,Accesorios,961.07,2,Efectivo,Guadalajara,1922.14
163,2026-08-11,8,4441,PyME,Smartwatch,Computo,1890.0,1,Efectivo,CDMX,1890.0
164,2026-07-25,7,1818,Empresa,Audífonos,Computo,1194.02,4,Tarjeta,Guadalajara,4776.08
165,2026-02-09,2,1531,PyME,Laptop,Computo,1003.53,2,Tarjeta,Monterrey,2007.06
166,2026-10-07,10,1349,PyME,Teclado,Accesorios,290.44,1,Tarjeta,Guadalajara,290.44
167,2026-05-20,5,4582,Empresa,Tablet,Computo,215.35,2,Tarjeta,CDMX,430.7
168,2026-03-22,3,3034,PyME,USB,Accesorios,1541.91,3,Efectivo,Monterrey,4625.73
169,2026-01-14,1,4123,PyME,Audífonos,Accesorios,1637.37,4,Tarjeta,Guadalajara,6549.48
170,2026-07-04,7,3252,Empresa,Tablet,Computo,163.13,3,Efectivo,Guadalajara,489.39
171,2026-09-03,9,3948,Individual,Smartwatch,Accesorios,1816.71,3,Tarjeta,CDMX,5450.13
172,2026-01-09,1,1764,PyME,Tablet,Computo,1102.73,2,Tarjeta,Guadalajara,2205.46
173,2026-06-05,6,4893,Individual,Audífonos,Accesorios,1051.11,4,Efectivo,Monterrey,4204.44
174,2026-03-24,3,1120,PyME,USB,Computo,1361.21,2,Tarjeta,CDMX,2722.42
175,2026-08-03,8,1061,Empresa,Audífonos,Accesorios,732.91,3,Tarjeta,CDMX,2198.73
176,2026-03-25,3,2034,Empresa,USB,Computo,1567.37,1,Tarjeta,Monterrey,1567.37
177,2026-09-01,9,1553,PyME,Tablet,Computo,1751.69,1,Tarjeta,CDMX,1751.69
178,2026-05-18,5,2272,PyME,Audífonos,Computo,622.4,3,Tarjeta,CDMX,1867.2
179,2026-11-13,11,3693,Individual,Mouse,Accesorios,857.79,3,Efectivo,Monterrey,2573.37
180,2026-03-04,3,3277,Empresa,Teclado,Accesorios,293.55,4,Efectivo,Guadalajara,1174.2
181,2026-05-18,5,1088,Individual,Smartwatch,Computo,1576.33,4,Tarjeta,Monterrey,6305.32
182,2026-02-09,2,2526,Empresa,Laptop,Accesorios,608.43,2,Tarjeta,Guadalajara,1216.86
183,2026-11-07,11,3220,Empresa,USB,Computo,1004.53,2,Efectivo,Guadalajara,2009.06
184,2026-11-15,11,3021,Individual,Smartwatch,Accesorios,112.9,3,Tarjeta,Monterrey,338.7
185,2026-04-13,4,1440,Individual,Laptop,Computo,1004.31,4,Tarjeta,Monterrey,4017.24
186,2026-08-02,8,1678,Empresa,Laptop,Computo,78.47,3,Tarjeta,Guadalajara,235.41
187,2026-10-11,10,4431,PyME,Audífonos,Accesorios,463.3,1,Efectivo,CDMX,463.3
188,2026-07-27,7,2641,PyME,Monitor,Computo,133.58,2,Tarjeta,Monterrey,267.16
189,2026-07-04,7,3410,PyME,Teclado,Computo,89.15,2,Tarjeta,CDMX,178.3
190,2026-03-22,3,4036,Empresa,USB,Computo,335.83,3,Efectivo,CDMX,1007.49
191,2026-02-18,2,4620,Empresa,USB,Accesorios,785.22,2,Efectivo,CDMX,1570.44
192,2026-11-25,11,3599,Empresa,Teclado,Accesorios,610.52,1,Efectivo,Guadalajara,610.52
193,2026-11-03,11,4897,PyME,Audífonos,Accesorios,517.87,2,Efectivo,Guadalajara,1035.74
194,2026-08-02,8,4296,Individual,Mouse,Accesorios,617.09,1,Tarjeta,CDMX,617.09
195,2026-05-12,5,3438,PyME,USB,Accesorios,48.85,1,Tarjeta,Monterrey,48.85
196,2026-05-04,5,1465,Empresa,Teclado,Computo,1741.34,3,Tarjeta,Monterrey,5224.02
197,2026-09-14,9,1363,PyME,Audífonos,Accesorios,1971.03,3,Tarjeta,Guadalajara,5913.09
198,2026-11-16,11,3034,Empresa,Tablet,Accesorios,101.12,4,Efectivo,Monterrey,404.48
199,2026-11-21,11,4239,,Monitor,Accesorios,1224.92,3,Tarjeta,Monterrey,3674.76
200,2026-09-04,9,1418,Individual,Audífonos,Computo,1809.21,2,Efectivo,Guadalajara,3618.42
201,2026-08-12,8,2737,Individual,USB,Computo,1370.87,2,Tarjeta,Monterrey,2741.74
202,2026-02-19,2,4798,Empresa,Smartwatch,Accesorios,309.28,4,Efectivo,Monterrey,1237.12
203,2026-03-19,3,4445,PyME,Monitor,Accesorios,1537.0,4,Efectivo,CDMX,6148.0
204,2026-11-12,11,1525,PyME,Monitor,Accesorios,1853.38,3,Efectivo,Monterrey,5560.14
205,2026-08-15,8,3770,Individual,Laptop,Accesorios,906.77,2,Tarjeta,CDMX,1813.54
206,2026-01-03,1,3034,Empresa,Laptop,Accesorios,1401.73,4,Tarjeta,CDMX,5606.92
207,2026-02-19,2,1221,Individual,Monitor,Accesorios,1238.62,2,Efectivo,Monterrey,2477.24
208,2026-08-22,8,3184,Individual,Laptop,Computo,1538.71,1,Efectivo,Guadalajara,1538.71
209,2026-01-15,1,3116,Empresa,Audífonos,Accesorios,473.2,3,Tarjeta,CDMX,1419.6
210,2026-03-20,3,1806,Individual,Smartwatch,Computo,893.58,2,Efectivo,Monterrey,1787.16
211,2026-07-23,7,4628,PyME,Tablet,Computo,401.74,4,Tarjeta,CDMX,1606.96
212,2026-09-07,9,2212,Individual,Mouse,Computo,1101.48,1,Efectivo,Monterrey,1101.48
213,2026-08-04,8,4121,Empresa,Tablet,Computo,364.05,4,Tarjeta,Guadalajara,1456.2
214,2026-03-01,3,4692,PyME,Tablet,Accesorios,1895.4,1,Tarjeta,Guadalajara,1895.4
215,2026-09-09,9,4807,PyME,Mouse,Accesorios,1294.6,1,Efectivo,Guadalajara,1294.6
216,2026-03-07,3,4942,PyME,Audífonos,Computo,1784.95,4,Efectivo,Guadalajara,7139.8
217,2026-05-22,5,1679,Individual,Audífonos,Accesorios,1035.76,3,Efectivo,Monterrey,3107.28
218,2026-09-05,9,1155,PyME,Laptop,Computo,1768.16,4,Tarjeta,CDMX,7072.64
219,2026-08-25,8,4875,Empresa,Mouse,Computo,129.35,2,Efectivo,Guadalajara,258.7
220,2026-10-09,10,3544,PyME,Smartwatch,Computo,1692.43,4,Efectivo,Guadalajara,6769.72
221,2026-08-26,8,3825,Empresa,USB,Computo,1157.42,1,Tarjeta,Monterrey,1157.42
222,2026-07-27,7,3876,Empresa,Mouse,Accesorios,869.31,1,Efectivo,CDMX,869.31
223,2026-02-06,2,1195,,Teclado,Computo,1805.64,2,Tarjeta,Monterrey,3611.28
224,2026-05-24,5,3724,PyME,Tablet,Computo,632.53,1,Tarjeta,Guadalajara,632.53
225,2026-04-23,4,1762,Empresa,USB,Accesorios,85.84,4,Efectivo,CDMX,343.36
226,2026-03-12,3,1475,PyME,Mouse,Accesorios,477.55,1,Efectivo,Monterrey,477.55
227,2026-12-13,12,3276,Empresa,Mouse,Accesorios,397.95,3,Tarjeta,Monterrey,1193.85
228,2026-06-01,6,2009,Individual,Laptop,Computo,152.43,1,Efectivo,CDMX,152.43
229,2026-11-15,11,4479,PyME,Laptop,Computo,615.85,4,Tarjeta,Monterrey,2463.4
230,2026-08-16,8,1929,PyME,Mouse,Computo,1766.08,3,Tarjeta,CDMX,5298.24
231,2026-10-02,10,1490,Empresa,USB,Computo,1817.06,1,Efectivo,Monterrey,1817.06
232,2026-06-09,6,3266,,Monitor,Computo,1874.5,2,Tarjeta,Guadalajara,3749.0
233,2026-07-10,7,1512,Individual,Teclado,Computo,1779.17,2,Tarjeta,Guadalajara,3558.34
234,2026-06-20,6,3068,Individual,Monitor,Computo,1535.23,4,Efectivo,CDMX,6140.92
235,2026-03-27,3,4014,Individual,Teclado,Computo,1082.24,1,Efectivo,CDMX,1082.24
236,2026-09-16,9,3731,PyME,Audífonos,Accesorios,1116.25,3,Efectivo,Monterrey,3348.75
237,2026-04-15,4,4495,Empresa,Teclado,Accesorios,867.2,3,Tarjeta,Guadalajara,2601.6
238,2026-01-03,1,3155,Empresa,Audífonos,Computo,1687.77,3,Efectivo,Guadalajara,5063.31
239,2026-08-02,8,4406,PyME,USB,Computo,1516.43,4,Efectivo,CDMX,6065.72
240,2026-03-08,3,4917,PyME,Audífonos,Accesorios,595.5,3,Efectivo,Monterrey,1786.5
241,2026-12-16,12,4421,Empresa,Laptop,Accesorios,1802.26,2,Efectivo,Guadalajara,3604.52
242,2026-12-23,12,3355,Empresa,USB,Computo,1141.7,4,Tarjeta,CDMX,4566.8
243,2026-11-09,11,3304,PyME,Audífonos,Accesorios,852.26,1,Efectivo,Guadalajara,852.26
244,2026-05-03,5,3484,PyME,Monitor,Computo,1267.08,1,Tarjeta,Guadalajara,1267.08
245,2026-01-17,1,1578,Individual,Tablet,Accesorios,1019.6,2,Tarjeta,Monterrey,2039.2
246,2026-11-13,11,3464,Individual,USB,Accesorios,1872.17,2,Efectivo,Monterrey,3744.34
247,2026-06-16,6,1010,Individual,Teclado,Computo,392.27,2,Tarjeta,Guadalajara,784.54
248,2026-12-25,12,2366,Individual,Laptop,Computo,163.73,4,Efectivo,Monterrey,654.92
249,2026-12-05,12,4496,PyME,Smartwatch,Accesorios,135.81,3,Efectivo,Guadalajara,407.43
250,2026-10-05,10,4416,Individual,Mouse,Accesorios,523.13,2,Efectivo,CDMX,1046.26
251,2026-04-03,4,4907,,Teclado,Accesorios,1999.25,4,Tarjeta,Monterrey,7997.0
252,2026-05-13,5,4303,Individual,Smartwatch,Computo,1516.91,2,Efectivo,CDMX,3033.82
253,2026-10-08,10,2328,Empresa,Tablet,Computo,1066.34,1,Efectivo,Monterrey,1066.34
254,2026-04-08,4,1187,Individual,Tablet,Computo,321.88,4,Tarjeta,Guadalajara,1287.52
255,2026-03-17,3,2503,Empresa,USB,Computo,305.98,2,Tarjeta,CDMX,611.96
256,2026-07-15,7,1429,Empresa,Monitor,Computo,847.06,2,Efectivo,Guadalajara,1694.12
257,2026-11-04,11,2491,Individual,Audífonos,Accesorios,587.57,1,Efectivo,Monterrey,587.57
258,2026-09-22,9,1015,Empresa,USB,Accesorios,1185.6,2,Efectivo,CDMX,2371.2
259,2026-07-25,7,3771,PyME,Laptop,Computo,796.69,1,Tarjeta,CDMX,796.69
260,2026-02-18,2,4873,PyME,Smartwatch,Computo,1472.1,3,Efectivo,Guadalajara,4416.3
261,2026-08-07,8,4607,PyME,USB,Accesorios,1262.61,4,Tarjeta,Monterrey,5050.44
262,2026-12-10,12,2917,PyME,Mouse,Computo,1001.33,3,Tarjeta,Guadalajara,3003.99
263,2026-03-01,3,2031,PyME,Teclado,Accesorios,1326.92,4,Tarjeta,CDMX,5307.68
264,2026-06-26,6,3678,Empresa,Teclado,Computo,508.22,4,Efectivo,CDMX,2032.88
265,2026-11-04,11,3542,Empresa,Laptop,Computo,1936.55,2,Tarjeta,Guadalajara,3873.1
266,2026-09-26,9,2347,Empresa,USB,Accesorios,1488.0,2,Efectivo,CDMX,2976.0
